,azuki_3,bayc_3,coolcats_3,doodles_3,meebits_3
recall@1,0.0143,0.0104,0.0096,0.0193,0.0167
recall@2,0.0253,0.0237,0.0247,0.0357,0.0324
recall@5,0.0566,0.0597,0.0824,0.0883,0.0683
recall@10,0.122,0.1089,0.1545,0.1616,0.1425
recall@20,0.2569,0.2462,0.2795,0.288,0.2917
mrr@1,0.0149,0.0114,0.0096,0.0193,0.0167
mrr@2,0.0204,0.018,0.0172,0.0275,0.0251
mrr@5,0.0283,0.0266,0.0317,0.0413,0.0344
mrr@10,0.0368,0.033,0.0412,0.0509,0.0442
mrr@20,0.0458,0.042,0.0496,0.0594,0.0544
ndcg@1,0.0149,0.0114,0.0096,0.0193,0.0167
ndcg@2,0.0214,0.019,0.0191,0.0296,0.0268
ndcg@5,0.0349,0.0341,0.0441,0.0527,0.0424
ndcg@10,0.0558,0.0499,0.0671,0.0761,0.0662
ndcg@20,0.0895,0.0839,0.0985,0.1077,0.1036
hit@1,0.0149,0.0114,0.0096,0.0193,0.0167
hit@2,0.0259,0.0246,0.0247,0.0357,0.0334
hit@5,0.0572,0.0606,0.0824,0.0895,0.07
hit@10,0.1234,0.1098,0.1552,0.1644,0.1452
hit@20,0.2592,0.2481,0.2802,0.292,0.2968
map@1,0.0149,0.0114,0.0096,0.0193,0.0167
map@2,0.0199,0.017,0.0172,0.0275,0.0246
map@5,0.0277,0.0256,0.0317,0.041,0.0337
map@10,0.0361,0.0321,0.041,0.0504,0.0434
map@20,0.0451,0.041,0.0495,0.0589,0.0533
precision@1,0.0149,0.0114,0.0096,0.0193,0.0167
precision@2,0.0129,0.0123,0.0124,0.0178,0.0167
precision@5,0.0114,0.0121,0.0165,0.0179,0.014
precision@10,0.0124,0.011,0.0155,0.0165,0.0145
precision@20,0.0132,0.0124,0.014,0.0147,0.0149
gauc,0.5613999962806702,0.5288000106811523,0.5773000121116638,0.5853999853134155,0.6017000079154968
