,azuki_0,azuki_3,azuki_5,bayc_0,bayc_3,bayc_5,coolcats_0,coolcats_3,coolcats_5,doodles_0,doodles_3,doodles_5,meebits_0,meebits_3,meebits_5
recall@1,0.0086,0.0084,0.0106,0.0053,0.0062,0.0294,0.0095,0.0053,0.0035,0.0088,0.0091,0.0096,0.0105,0.0215,0.0326
recall@2,0.0161,0.0173,0.0203,0.0115,0.0185,0.0294,0.0219,0.0233,0.0212,0.0174,0.0181,0.0184,0.0178,0.028,0.0373
recall@5,0.0364,0.0396,0.053,0.0388,0.0309,0.049,0.0456,0.0476,0.0636,0.0415,0.043,0.0473,0.0378,0.0495,0.0611
recall@10,0.0805,0.0849,0.1121,0.0855,0.0864,0.1176,0.0934,0.0905,0.1272,0.0906,0.097,0.0938,0.0808,0.0841,0.1077
recall@20,0.1662,0.1839,0.1951,0.1656,0.1996,0.2549,0.1882,0.1688,0.2297,0.1859,0.1964,0.2156,0.1602,0.1931,0.2103
recall@50,0.4905,0.4865,0.5353,0.4792,0.5106,0.7353,0.4932,0.4847,0.5442,0.4907,0.4977,0.5039,0.4888,0.4713,0.5471
mrr@1,0.0088,0.0084,0.0106,0.0053,0.0062,0.0294,0.0095,0.0053,0.0035,0.0088,0.0093,0.0096,0.0105,0.0215,0.0326
mrr@2,0.0125,0.0129,0.0154,0.0084,0.0123,0.0294,0.0157,0.0143,0.0124,0.0131,0.0138,0.014,0.0142,0.0248,0.035
mrr@5,0.018,0.0192,0.0237,0.0156,0.015,0.0346,0.0223,0.0209,0.0237,0.0192,0.0201,0.0218,0.0197,0.0298,0.0415
mrr@10,0.0236,0.0249,0.0312,0.022,0.0222,0.0435,0.0285,0.0265,0.0318,0.0258,0.0272,0.0279,0.0253,0.0341,0.0474
mrr@20,0.0294,0.0315,0.0366,0.0274,0.0296,0.053,0.0349,0.0317,0.0384,0.0323,0.0338,0.036,0.0305,0.0416,0.0543
mrr@50,0.0391,0.0407,0.0467,0.0367,0.0387,0.0681,0.0439,0.041,0.0477,0.0415,0.0429,0.0448,0.0403,0.0497,0.0644
ndcg@1,0.0088,0.0084,0.0106,0.0053,0.0062,0.0294,0.0095,0.0053,0.0035,0.0088,0.0093,0.0096,0.0105,0.0215,0.0326
ndcg@2,0.0134,0.014,0.0167,0.0092,0.014,0.0294,0.0173,0.0166,0.0147,0.0143,0.0148,0.0152,0.0151,0.0256,0.0356
ndcg@5,0.0223,0.0242,0.0309,0.0213,0.0189,0.0381,0.0281,0.0276,0.0335,0.0247,0.0256,0.028,0.024,0.0345,0.0461
ndcg@10,0.0363,0.0385,0.0496,0.0366,0.0367,0.06,0.0434,0.0412,0.0537,0.0405,0.0429,0.043,0.0377,0.0455,0.0608
ndcg@20,0.0577,0.0633,0.0701,0.0566,0.0646,0.0946,0.0671,0.0608,0.079,0.0645,0.0677,0.0733,0.0574,0.0729,0.0865
ndcg@50,0.1211,0.1224,0.1362,0.1176,0.125,0.1897,0.1264,0.1221,0.1402,0.124,0.1266,0.13,0.1215,0.1268,0.1522
hit@1,0.0088,0.0084,0.0106,0.0053,0.0062,0.0294,0.0095,0.0053,0.0035,0.0088,0.0093,0.0096,0.0105,0.0215,0.0326
hit@2,0.0163,0.0174,0.0203,0.0115,0.0185,0.0294,0.0219,0.0233,0.0212,0.0174,0.0183,0.0184,0.0178,0.028,0.0373
hit@5,0.0373,0.0397,0.053,0.0388,0.0309,0.049,0.0456,0.0476,0.0636,0.0415,0.0432,0.0473,0.0388,0.0495,0.0629
hit@10,0.0814,0.0851,0.1121,0.0855,0.0864,0.1176,0.0937,0.091,0.1272,0.0909,0.0972,0.0938,0.0818,0.0841,0.1096
hit@20,0.1673,0.1841,0.1951,0.1656,0.1996,0.2549,0.1885,0.1693,0.2297,0.1866,0.1968,0.2156,0.1614,0.1944,0.2121
hit@50,0.4925,0.4878,0.5357,0.4811,0.5123,0.7353,0.4938,0.4857,0.5442,0.492,0.499,0.5039,0.4927,0.4738,0.5501
map@1,0.0088,0.0084,0.0106,0.0053,0.0062,0.0294,0.0095,0.0053,0.0035,0.0088,0.0093,0.0096,0.0105,0.0215,0.0326
map@2,0.0124,0.0128,0.0154,0.0084,0.0123,0.0294,0.0157,0.0143,0.0124,0.0131,0.0136,0.014,0.0142,0.0248,0.035
map@5,0.0176,0.0191,0.0237,0.0156,0.015,0.0346,0.0223,0.0209,0.0237,0.0192,0.0199,0.0218,0.0194,0.0298,0.0411
map@10,0.0233,0.0248,0.0312,0.022,0.0222,0.0435,0.0285,0.0264,0.0318,0.0257,0.027,0.0279,0.025,0.0341,0.0469
map@20,0.029,0.0314,0.0366,0.0274,0.0296,0.053,0.0349,0.0317,0.0384,0.0322,0.0336,0.036,0.0302,0.0415,0.0539
map@50,0.0387,0.0406,0.0467,0.0367,0.0387,0.0681,0.0439,0.0409,0.0477,0.0414,0.0427,0.0448,0.0399,0.0496,0.0639
precision@1,0.0088,0.0084,0.0106,0.0053,0.0062,0.0294,0.0095,0.0053,0.0035,0.0088,0.0093,0.0096,0.0105,0.0215,0.0326
precision@2,0.0081,0.0087,0.0102,0.0057,0.0093,0.0147,0.011,0.0116,0.0106,0.0087,0.0091,0.0092,0.0089,0.014,0.0186
precision@5,0.0075,0.0079,0.0106,0.0078,0.0062,0.0098,0.0091,0.0095,0.0127,0.0083,0.0086,0.0095,0.0078,0.0099,0.0126
precision@10,0.0081,0.0085,0.0112,0.0085,0.0086,0.0118,0.0094,0.0091,0.0127,0.0091,0.0097,0.0094,0.0082,0.0084,0.011
precision@20,0.0084,0.0092,0.0098,0.0083,0.01,0.0127,0.0094,0.0085,0.0115,0.0093,0.0098,0.0108,0.0081,0.0097,0.0106
precision@50,0.0099,0.0098,0.0107,0.0096,0.0102,0.0147,0.0099,0.0097,0.0109,0.0098,0.01,0.0101,0.0099,0.0095,0.011
gauc,0.498199999332428,0.4884999990463257,0.5080999732017517,0.4810999929904938,0.4918999969959259,0.5468000173568726,0.4948999881744385,0.483599990606308,0.49709999561309814,0.4952000081539154,0.5006999969482422,0.4982999861240387,0.4894999861717224,0.47690001130104065,0.4927000105381012
